year,Number of Trips <1,Number of Trips 1-5,Number of Trips 5-25,Number of Trips 25-100,Number of Trips >=100
2019/01/01,889046092.2919117,1313697853.697089,1021914815.4665726,218794385.21051037,33293327.93481517
2019/01/02,886598961.1405473,1309618334.3099754,1019082589.8668602,218467972.27866012,33386980.28158008
2019/01/03,884240494.3281682,1305706513.962607,1016387372.3718426,218162787.0204468,33479306.17946062
2019/01/04,881970691.8547744,1301962392.6549833,1013829162.9815202,217878829.43587032,33570305.628456794
2019/01/05,879789553.7203659,1298385970.3871047,1011407961.6958928,217616099.5249307,33659978.62856861
2019/01/06,877697079.9249427,1294977247.1589715,1009123768.5149602,217374597.2876279,33748325.17979606
2019/01/07,875693270.468505,1291736222.9705832,1006976583.4387228,217154322.723962,33835345.28213915
2019/01/08,873778125.3510526,1288662897.82194,1004966406.4671804,216955275.8339329,33921038.935597874
2019/01/09,871951644.5725856,1285757271.713042,1003093237.600333,216777456.6175407,34005406.14017224
2019/01/10,870213828.1331038,1283019344.643889,1001357076.8381804,216620865.07478532,34088446.89586224
2019/01/11,868564676.0326074,1280449116.614481,999757924.1807232,216485501.20566684,34170161.20266788
2019/01/12,867004188.2710963,1278046587.624818,998295779.6279608,216371365.0101852,34250549.06058915
2019/01/13,865532364.8485707,1275811757.6749003,996970643.1798936,216278456.4883404,34329610.46962606
2019/01/14,864149205.7650304,1273744626.7647276,995782514.8365211,216206775.6401325,34407345.429778606
2019/01/15,862854711.0204754,1271845194.8943002,994731394.5978438,216156322.4655614,34483753.94104679
2019/01/16,861648880.6149057,1270113462.0636177,993817282.4638616,216127096.9646272,34558836.00343061
2019/01/17,860531714.5483214,1268549428.2726803,993040178.4345742,216119099.13732985,34632591.616930075
2019/01/18,859503212.8207223,1267153093.5214877,992400082.509982,216132328.98366928,34705020.78154517
2019/01/19,858563375.4321088,1265924457.8100405,991896994.6900848,216166786.50364563,34776123.497275904
2019/01/20,857712202.3824804,1264863521.1383383,991530914.9748824,216222471.69725883,34845899.76412227
2019/01/21,856949693.6718374,1263970283.5063813,991301843.3643752,216299384.5645089,34914349.58208428
2019/01/22,856275849.3001798,1263244744.9141693,991209779.858563,216397525.1053958,34981472.95116192
2019/01/23,855690669.2675077,1262686905.3617024,991254724.4574456,216516893.3199196,35047269.8713552
2019/01/24,855194153.5738207,1262296764.8489804,991436677.1610236,216657489.20808017,35111740.34266412
2019/01/25,854786302.2191191,1262074323.3760035,991755637.9692965,216819312.76987764,35174884.36508867
2019/01/26,854467115.2034029,1262019580.942772,992211606.8822644,217002364.005312,35236701.93862887
2019/01/27,854236592.526672,1262132537.5492854,992804583.8999273,217206642.9143832,35297193.063284695
2019/01/28,854094734.1889265,1262413193.195544,993534569.0222852,217432149.4970912,35356357.73905616
2019/01/29,854041540.1901662,1262861547.8815477,994401562.249338,217678883.7534361,35414195.96594326
2019/01/30,854077010.5303915,1263477601.607296,995405563.581086,217946845.68341783,35470707.743946
2019/01/31,854201145.2096019,1264261354.37279,996546573.0175288,218236035.28703648,35525893.07306438
2019/02/01,854413944.2277977,1265212806.1780286,997824590.5586668,218546452.56429192,35579751.95329839
2019/02/02,854715407.5849789,1266331957.0230126,999239616.2044996,218878097.51518425,35632284.38464804
2019/02/03,855105535.2811455,1267618806.9077415,1000791649.9550276,219230970.13971344,35683490.36711333
2019/02/04,855584327.3162973,1269073355.8322155,1002480691.8102506,219605070.43787944,35733369.90069425
2019/02/05,856151783.6904345,1270695603.7964346,1004306741.7701688,220000398.40968236,35781922.98539081
2019/02/06,856807904.4035571,1272485550.8003988,1006269799.8347818,220416954.05512208,35829149.62120301
2019/02/07,857552689.4556649,1274443196.8441083,1008369866.0040896,220854737.37419868,35875049.808130845
2019/02/08,858386138.8467581,1276568541.9275627,1010606940.2780927,221313748.36691213,35919623.54617432
2019/02/09,859308252.5768367,1278861586.0507622,1012981022.6567909,221793987.03326243,35962870.83533343
2019/02/10,860319030.6459006,1281322329.2137067,1015492113.140184,222295453.3732496,36004791.67560817
2019/02/11,861418473.05395,1283950771.4163964,1018140211.728272,222818147.3868736,36045386.06699856
2019/02/12,862606579.8009845,1286746912.6588311,1020925318.4210552,223362069.07413447,36084654.00950458
2019/02/13,863883350.8870045,1289710752.941011,1023847433.2185332,223927218.43503225,36122595.50312624
